species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Agrenia bidenticulata,Agrenia,Isotomidae,1933610,species,unknown,unknown,"there is no specific information regarding the diet of *Agrenia bidenticulata*. The sources mention its presence in certain habitats and morphological characteristics but do not describe feeding habits , . Further research would be needed to determine its dietary preferences.",32260571(medline)|27394328(medline),,,"there is no specific mention of the body length of *Agrenia bidenticulata*. The descriptions focus on morphological features such as setae arrangement, pigmentation, and habitat preferences, but do not provide measurements for body length . Therefore, the body length cannot be determined from the given sources.",03E61F409350FFBB62C4FDE2DFEAFBB0(plazi)|256B931EFFCBFFA7FF3A4F9EFB22F86A(plazi),,,
Allacma fusca,Allacma,Sminthuridae,39272,species,unknown,unknown,"there is no specific information about what Allacma fusca feeds on. The sources discuss topics such as mitochondrial characteristics, sperm morphology, genomic elements, and paternal genome elimination, but none mention the diet of Allacma fusca .",11732170(medline)|19027878(medline)|37650155(medline)|35946560(medline),,,"there is no specific mention of the body length of Allacma fusca. The sources discuss genetic data, taxonomy, and phylogenetic relationships but do not provide morphological measurements such as body length . Therefore, the body length of Allacma fusca cannot be determined from the given information.",PMC7782307(pmc)|PMC8004137(pmc)|PMC7824276(pmc)|PMC11942825(pmc),soil|forest_wood,"Allacma fusca inhabits forest soils in Iran . Additionally, it is noted that in Thailand, three morphospecies of Allacma, including possibly Allacma fusca, are found in forested areas at elevations between 1150 m and 2400 m . However, specific details about the exact habitat preferences of Allacma fusca are limited in the given sources.",721B6E0C8C2AFF96FF382701A87F2691(plazi)|03EA87B2FF8EFFDBFF26FB5AFD1C9FD0(plazi)
Anurida granaria,Anurida,Neanuridae,187597,species,algivore|fungivore,algivore,"Anurida granaria feeds on algae-covered bark and slime mould. This dietary preference has been observed in laboratory-reared neanurid Collembola, where they were successfully reared on such a diet . There is no direct mention of their natural diet in the given texts, but the association with algae-covered bark suggests a possible ecological link .",PMC10230187(pmc)|PMC4495557(pmc),,,"the body length of *Anurida granaria* is not explicitly mentioned. However, it is noted that *Anurida maritima*, a closely related species, has a head that is described in detail along with its anatomical structures . For precise body length measurements of *Anurida granaria*, additional specific references or studies would be required.",PMC6858819(pmc),soil,"there is no direct mention of the habitat of *Anurida granaria*. However, related species such as *Anurida sensillata* and *Anurida ellipsoides* are noted to inhabit soil environments in various regions , . Therefore, it can be inferred that *Anurida granaria* may also prefer soil habitats, although this remains speculative without explicit documentation.",721B6E0C8C0BFFB5FF382725A81C2691(plazi)|721B6E0C8C0BFFB4FF382379A97A2519(plazi)
Anurida granulata,Anurida,Neanuridae,2905848,species,unknown,unknown,"Anurida granulata is not explicitly mentioned. However, there is mention of ""G. granulata sp. nov."" associated with bark beetles feeding on plants from various families including Asteraceae, Fabaceae, Moraceae, Oleaceae, Ulmaceae, Cupressaceae, and Ulmaceae . While this refers to Geosmithia granulata, not Anurida granulata, it suggests that organisms named granulata might have associations with…",PMC8964297(pmc),,,"there is no specific mention of ""Anurida granulata."" However, a species named *Tetralicia granulata* is mentioned in source , but its body length is not specified. Additionally, a species referred to as *Lasiobelba granulata* is noted in source , but again, no body length is given. Therefore, the body length of *Anurida granulata* cannot be determined from the available information.",10.11646/zootaxa.5527.1.1(pmc)|PMC4106099(pmc),,"""Anurida granulata"" is mentioned in relation to other species such as ""O. granulata,"" which refers to Oryza granulata, a wild rice species. However, there is no direct mention of the specific habitat of ""Anurida granulata."" The term ""granulata"" appears in multiple contexts, including species names like ""Cryptopygus bipunctatus (Axelson, 1903)"" and ""Oryza granulata,"" suggesting it may refer to…",10.3897/subtbiol.33.48805(pmc)|PMC9488966(pmc)
Anurida maritima,Anurida,Neanuridae,64695,species,detritivore,detritivore,"Anurida maritima feeds on organic matter present on the mud surface during the periods when they are active. However, specific details regarding their diet are not explicitly mentioned in the given texts .",28311099(medline),1,1.0,Anurida maritima has a body length of approximately 1 mm . This measurement is inferred from comparisons with other small arthropods and descriptions of its anatomical features . No direct measurements of body length are explicitly stated in the text.,PMC6858819(pmc),marine_coastal,"*Anurida maritima* inhabits salt marshes, specifically associated with mosquito larval habitats such as potholes . It is also found in tidal zones where it endures periodic flooding from tides and feeds on algae and suspended sediments .",PMC3463129(pmc)|PMC4494283(pmc)
Anurida polaris,Anurida,Neanuridae,64692,genus,omnivore|algivore|fungivore|bacterivore,omnivore,"Anurida polaris is mentioned in the context of microarthropod communities in the High Arctic, but there is no direct information about its diet. However, it is noted that related species like Anurida armata are detritivores feeding on fungi, bacteria, algae, and actinomycetes . It is reasonable to infer that Anurida polaris may also have a similar dietary habit, although this is not explicitly…",PMC10051947(pmc)|03848788467B663A4BD99CA2FB95D4B3(plazi),,,the body length of *Anurida polaris* is approximately 17 mm excluding antennae and cerci .,10.11646/zootaxa.4679.3.5(pmc)|03CD747BFFFEFFECFF6A9FF9FCF0175C(plazi),alpine_glacier|freshwater|marine_coastal,"*Anurida polaris* inhabits glacial environments in the High Arctic, specifically areas affected by receding glaciers . It is also found in subpolar fjords along the West Antarctic Peninsula, where it contributes to epibenthic communities . These findings suggest that *Anurida polaris* thrives in cold, aquatic or moist terrestrial habitats associated with glacial and coastal regions.",PMC7240498(pmc)|PMC5214585(pmc)|28311099(medline)
Anurida thalassophila,Anurida,Neanuridae,64692,genus,detritivore,detritivore,"there is no explicit mention of the feeding habits of *Anurida thalassophila*. However, it is noted that this species is found in soil and leaf litter habitats , suggesting it may be a detritivore or microphytophage, common among Collembola. Further research would be needed to confirm its exact diet.",PMC3800792(pmc),,,"the body length of *Anurida thalassophila* is not directly mentioned. However, it is noted that *Thalassaphorura brevisetosa* and *T. thalassophila* (considered synonymous) share certain morphological features, but specific measurements for *A. thalassophila* are lacking in the given texts . Therefore, the exact body length cannot be determined from the available information.",C2178781FFC0D87C61F11BFAFDE45E26(plazi),marine_coastal|soil,"*Anurida thalassophila* is associated with soil habitats in Iran . There is no explicit mention of its intertidal habitat, unlike some other species within the genus *Anurida* .",PMC6011825(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Anurida tullbergi,Anurida,Neanuridae,1725394,species,unknown,unknown,"there is no specific information regarding the feeding habits of *Anurida tullbergi*. The sources mention its ecological distribution and survival strategies under flooding conditions but do not detail its dietary preferences , . Further research would be needed to determine its exact food sources.",PMC4494283(pmc)|PMC5769716(pmc),,,"there is no specific mention of the body length of *Anurida tullbergi*. The term ""Tullbergi"" appears in the context of *Praomys tullbergi* , which is a rodent species, and *Metasepia tullbergi* , a cuttlefish species. However, neither document provides body length data for any species named *Anurida tullbergi*. Therefore, the body length of *Anurida tullbergi* cannot be determined from the given…",33829084(medline)|27154051(medline),marine_coastal|grassland|freshwater,"Anurida tullbergi is not explicitly mentioned. However, related species like Anurida maritima inhabit marine saltmarshes , and other Anurida species are found in riparian areas and meadows . Therefore, it can be inferred that Anurida tullbergi likely inhabits similar moist environments such as salt marshes, riverbanks, or adjacent meadows.",28311099(medline)|29362535(medline)
Anurophorus atlanticus,Anurophorus,Isotomidae,208793,species,algivore|detritivore,algivore,"there is no direct information about the diet of *Anurophorus atlanticus*. However, related studies mention that some Collembola species feed on algae while submerged or inhabit wet environments . Since *Anurophorus* is a genus within Collembola, it might share similar dietary habits, potentially feeding on algae or other detritus in moist habitats. Further research would be needed to confirm…",PMC3911920(pmc),5-6.5,5.0|6.5,"there is no direct mention of the body length of *Anurophorus atlanticus*. However, related species such as *Sphecodes atlanticus* have a total body length ranging from 5.0 to 6.5 mm . For precise measurements of *Anurophorus atlanticus*, additional specific references would be required.",PMC6711934(pmc),soil|moss_lichen|forest_wood,"there is no specific information about the habitat of *Anurophorus atlanticus*. However, related species such as *Anurophorus coiffaiti* inhabit soil around elm and pomegranate trees in Iran , while *Anurophorus silvaticus* is found in moss on trees, decaying wood, and soil in Iran . The genus *Anurophorus* is noted to occur in various habitats including soil in dry evergreen lowland forests in…",721B6E0C8C3BFF84FF38252CA92D2310(plazi)|721B6E0C8C3BFF84FF38244CA80720B8(plazi)|03EA87B2FFA7FFF2FF26FD60FC3C9933(plazi)
Anurophorus laricis,Anurophorus,Isotomidae,2107182,species,unknown,unknown,"there is no explicit mention of the feeding habits of *Anurophorus laricis*. However, it is noted that *Anurophorus laricis* is distributed in western Palaearctic regions, including northern Vietnam, and is likely associated with moist environments . For detailed dietary information, further research or specific studies on *Anurophorus laricis* would be required.",10.11646/zootaxa.5147.1.1(pmc),1.2-2,1.5|2.0|1.2,"the body length of *Anurophorus laricis* is not explicitly stated. However, it is mentioned that *A. laricis* has been confused with other species like *A. alpinus*, which has a body size range of 1.5–2.0 mm . Additionally, *Aprionus gustavssoni* has a body size of 1.2 mm , but this refers to a different genus. Therefore, the exact body length of *Anurophorus laricis* remains unspecified in the…",3E7787AAD7749F27FF0619E3FBDCF837(plazi)|9660FC12FFCF2D71FF4FDA7220030BF5(plazi),moss_lichen|soil,"*Anurophorus laricis* is associated with moss-lichen cover on rocks and moraines in the Tsey Gorge nature reserve . Additionally, related species such as *Anurophorus coiffaiti* and *Anurophorus silvaticus* inhabit soils around elm and pomegranate trees or moss on trees, decaying wood, and soil in various regions . However, specific details about the exact habitat of *A. laricis* remain limited.",4F034B6EFFBC357ED934F8A83B70FB95(plazi)|721B6E0C8C3BFF84FF38252CA92D2310(plazi)|721B6E0C8C3BFF84FF38244CA80720B8(plazi)
