species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Agrenia bidenticulata,Agrenia,Isotomidae,1933610,species,,,,the sources contain no explicit statement about this species' diet,6,32260571(medline)|03CF878BFFA6C264229F5E62FAC7AE92(plazi)|266B5D55F77FFFEDFF7EFDE0450CFBE4(plazi)|256B931EFFCBFFA7FF3A4F9EFB22F86A(plazi)|03E61F409350FFBB62C4FDE2DFEAFBB0(plazi)|PMC7240498(pmc),"Based on the provided documents, there is no specific information about the diet of *Agrenia bidenticulata*. The document mentions its presence in microarthropod communities near a receding glacier but does not specify feeding habits . Further research would be needed to determine its dietary preferences.",,,,6,32260571(medline)|266B5D55F77FFFEDFF7EFDE0450CFBE4(plazi)|03CF878BFFA6C264229F5E62FAC7AE92(plazi)|03E61F409350FFBB62C4FDE2DFEAFBB0(plazi)|256B931EFFCBFFA7FF3A4F9EFB22F86A(plazi)|PMC7240498(pmc),"Based on the provided documents, there is no specific information regarding the body length of *Agrenia bidenticulata*. The source mentions the presence of this species but does not provide detailed morphological data such as body length . Further research would be required to determine this characteristic.",alpine_glacier,,direct,,6,32260571(medline)|03CF878BFFA6C264229F5E62FAC7AE92(plazi)|03E61F409350FFBB62C4FDE2DFEAFBB0(plazi)|256B931EFFCBFFA7FF3A4F9EFB22F86A(plazi)|PMC7240498(pmc),"Based on the provided documents, Agrenia bidenticulata is a representative of the Collembola found in the vicinity of a receding glacier in the High Arctic, specifically near the glacier snout. This species is part of microarthropod communities that exhibit changes as the glacier retreats, with higher species richness observed further away from the glacier snout .",1,NA,NA,NA,Norway,Svalbard,"78.63972,16.124916",NA,,NA,Russian_Arctic_desert
Allacma fusca,Allacma,Sminthuridae,39272,species,,,,the sources contain no explicit statement about this species' diet,13,33458074(medline)|721B6E0C8C2AFF96FF382701A87F2691(plazi)|03BF042CFFADB77A3AB0FA7CFB67F04A(plazi)|03CF878BFFF9C23822B45D0FFD5EACF5(plazi)|03AA531A0F473529FF595B9AFA80A71A(plazi)|PMC10427803(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of Allacma fusca. The available sources discuss topics such as mitochondrial genomes, cellular processes, and genomic features, but none mention what Allacma fusca feeds on. Therefore, the dietary preferences of Allacma fusca cannot be determined from the given sources.",,,,13,11732170(medline)|37593568(medline)|33458074(medline)|37650155(medline)|18828663(medline)|35946560(medline)|721B6E0C8C2AFF96FF382701A87F2691(plazi)|03BF042CFFADB77A3AB0FA7CFB67F04A(plazi)|03CF878BFFF9C23822B45D0FFD5EACF5(plazi)|03AA531A0F473529FF595B9AFA80A71A(plazi)|PMC10427803(pmc)|PMC9630974(pmc)|PMC7782307(pmc),"Based on the provided documents, there is no specific mention of the body length of Allacma fusca. The sources discuss various aspects such as genome sequences, mitochondrial genomes, and cellular structures but do not provide measurements related to body length .",,,,the sources give no explicit habitat description for this species,13,33458074(medline)|11732170(medline)|37593568(medline)|18828663(medline)|37650155(medline)|19027878(medline)|721B6E0C8C2AFF96FF382701A87F2691(plazi)|03BF042CFFADB77A3AB0FA7CFB67F04A(plazi)|PMC10427803(pmc),"Based on the provided documents, there is no explicit mention of the specific habitat of *Allacma fusca*. The sources discuss various aspects such as its mitochondrial genome , metabolic rates in germ line versus somatic cells , genome sequencing , degeneration of the midgut epithelium , presence of retrotransposons , and reproductive characteristics . However, none of these provide details about the ecological or environmental habitat preferences of *Allacma fusca*.",324,NA|adult,NA|Sea shore|Urban,NA|Malaise Trap|Pan Trap|Hand net|Moss sample,Germany|France|United Kingdom|Finland|Italy|Estonia|Belarus|Sweden,Bavaria|Normandie|Occitanie|Minsk|Ile-de-France|Northern Ostrobothnia,"49.01513,12.10161|49.4902,1.09192|42.8028,1.42552",395|NA,2009-2024,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,"Western_European_broadleaf_forests|European_Atlantic_mixed_forests|Pyrenees_conifer_and_mixed_forests|Celtic_broadleaf_forests|NA|Scandinavian_and_Russian_taiga|Sarmatic_mixed_forests|Sarmatic_mixed_forests, Central_European_mixed_forests"
Anurida granaria,Anurida,Neanuridae,187597,species,,,,the sources contain no explicit statement about this species' diet,3,266B5D55F766FFF4FF7EFA904377F936(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Anurida granaria*. The sources primarily focus on distribution, taxonomy, and related species rather than ecological interactions or dietary preferences. Therefore, the feeding habits of *Anurida granaria* cannot be determined from the given data.",,,,3,266B5D55F766FFF4FF7EFA904377F936(plazi)|03CF878BFF8AC24820015CB7FA87AD4F(plazi),"Based on the provided documents, there is no specific mention of the body length of *Anurida granaria*. The sources primarily discuss distribution, taxonomy, and related species rather than morphological characteristics such as body size . Further detailed taxonomic or biological studies would be required to determine this information.",forest_wood|grassland,freshwater|agricultural,direct,"habitat statement concerns Specific habitats, not the target species",3,03CF878BFF8AC24820015CB7FA87AD4F(plazi),"Based on the provided documents, *Anurida granaria* is found in various locations across Western Europe, including France, Spain, Italy, and Greenland. It inhabits areas such as grasslands, heathlands, and forested regions, typically at elevations ranging from sea level up to 1400 meters . Specific habitats include marshes, meadows, and rocky outcrops .",11,NA|Adult,"NA|Seashore meadow|Phragmites swamp|G1.21, Riverine ash - alder woodland, wet at high but not at low water",NA,France|United Kingdom|Norway|Germany,Vestfold|Saxony,"NA|55.0544,-2.6174|51.4875,-0.2875",NA,2014-2021,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,NA|Celtic_broadleaf_forests|English_Lowlands_beech_forests|Scandinavian_and_Russian_taiga|Western_European_broadleaf_forests
Anurida granulata,Anurida,Neanuridae,2905848,species,,,,the sources contain no explicit statement about this species' diet,2,03CF878BFF8AC24822C85EACFB11AE83(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Anurida granulata*. The sources mention its distribution and habitat but do not provide details about its feeding habits . Further research would be needed to determine its dietary preferences.",,,,2,03CF878BFF8AC24822C85EACFB11AE83(plazi),"Based on the provided documents, there is no specific information given about the body length of *Anurida granulata*. The sources mention its distribution and habitat but do not provide measurements related to its body size . Additional research would be required to determine this characteristic.",soil,,direct,,2,03CF878BFF8AC24822C85EACFB11AE83(plazi),"Based on the provided documents, *Anurida granulata* is found in the Savoie region, specifically at elevations between 950-2150 meters, inhabiting acidic soils . This indicates that its habitat includes mountainous areas with acidic soil conditions.",1,,"G3.1, Fir and spruce woodland",NA,Germany,Lower Saxony,"51.7161,10.5635",502,2020,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,Western_European_broadleaf_forests
Anurida maritima,Anurida,Neanuridae,64695,species,,,,the sources contain no explicit statement about this species' diet,14,36975900(medline)|28311099(medline)|10497320(medline)|03848788467B663A4BD99CA2FB95D4B3(plazi)|PMC10051947(pmc),"Based on the provided documents, no specific information regarding the diet of *Anurida maritima* is given. The sources discuss its tidal activity patterns, chromosome structure, and antimicrobial peptides but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",,,,14,10497320(medline)|33188193(medline)|28311099(medline)|34537592(medline)|36975900(medline)|266B5D55F767FFF5FF7EFEEC44E5FE5A(plazi)|03CF878BFF8AC24822A45DEAFA87AB43(plazi)|03AECF752E2FFFD5579420BEFAF2FC5A(plazi)|03848788467B663A4BD99CA2FB95D4B3(plazi)|EC6387A4FFEA3733FF62A674FAC3FE6A(plazi)|EC6387A4FFEB3733FCDFA39EFEB7F7E2(plazi)|PMC10051947(pmc),"Based on the provided documents, the body length of *Anurida maritima* is not specified. The sources discuss various biological aspects of *Anurida maritima*, such as its chromosome number, tidal activity patterns, and spermiogenesis, but none provide information regarding its body length .",marine_coastal,freshwater,direct,"categories resting only on a general term rather than an ecological description: freshwater; habitat statement concerns York salt, not the target species",14,28311099(medline)|22957707(medline)|266B5D55F767FFF5FF7EFEEC44E5FE5A(plazi)|03AECF752E2FFFD5579420BEFAF2FC5A(plazi)|03CF878BFF8AC24822A45DEAFA87AB43(plazi)|PMC3463129(pmc)|PMC10051947(pmc),"Based on the provided documents, Anurida maritima inhabits marine saltmarshes, specifically intertidal zones where it exhibits a tidal rhythm of activity on the mud surface . It is also associated with mosquito larval habitats in New York salt marshes .",12,NA|Adult,NA|Rocks at seashore,NA,France|United Kingdom|Norway,Normandie|Telemark,"49.9041,0.91816",NA,1999-2019,NA,European_Atlantic_mixed_forests|NA|Western_European_broadleaf_forests
Anurida polaris,Anurida,Neanuridae,64692,genus,,,,the sources contain no explicit statement about this species' diet,1,266B5D55F767FFF5FF7EFACC45B0F9BA(plazi),"Based on the provided documents, there is no specific information about the diet of *Anurida polaris*. The sources primarily discuss taxonomic classifications and distributions rather than feeding habits . Further research would be needed to determine its dietary preferences.",,,,1,266B5D55F767FFF5FF7EFACC45B0F9BA(plazi),"Based on the provided documents, there is no specific mention of the body length of *Anurida polaris*. The sources primarily discuss its taxonomy, nomenclature, and geographic distribution . Additional biological characteristics such as body size are not detailed in the given references.",,,,the sources give no explicit habitat description for this species,1,266B5D55F767FFF5FF7EFACC45B0F9BA(plazi),"Based on the provided documents, *Anurida polaris* is part of the general Northern Holarctic distribution, which suggests it inhabits regions across the northern parts of both the Palearctic and Nearctic realms. However, specific habitat details for *A. polaris* are not explicitly mentioned in the given sources .",3,Adult,Arctic tundra,NA,Norway,Svalbard,"77.018,15.886|79.252,20.134",NA,2013,NA,Russian_Arctic_desert|NA
Anurida thalassophila,Anurida,Neanuridae,64692,genus,,,,the sources contain no explicit statement about this species' diet,2,721B6E0C8C0BFFB4FF382275A8D92281(plazi)|03CF878BFF8BC24921FE5EADFDB5AE66(plazi),"Based on the provided documents, there is no specific information about the diet of *Anurida thalassophila* . The sources mention its ecological habitat as soil and general distribution but do not specify feeding habits . Further research would be needed to determine its food source.",,,,2,721B6E0C8C0BFFB4FF382275A8D92281(plazi)|03CF878BFF8BC24921FE5EADFDB5AE66(plazi),"Based on the provided documents, there is no specific information given about the body length of *Anurida thalassophila*. The sources mention ecological preferences and distribution but do not provide morphological details such as body length , .",sandy_dune|soil,,direct,"habitat statement concerns Iran according, not the target species",2,721B6E0C8C0BFFB4FF382275A8D92281(plazi)|03CF878BFF8BC24921FE5EADFDB5AE66(plazi),"Based on the provided documents, *Anurida thalassophila* inhabits sandy environments, specifically referred to as ""faune psammique"" in source . Additionally, it is noted that this species lives in soil in Iran according to source . Therefore, the habitat of *Anurida thalassophila* includes sandy soils and possibly other terrestrial habitats associated with such conditions.",2,Adult,"Understones, seashore",NA,Norway,Vestfold,"59.081,10.47",NA,2015,NA,NA
Anurida tullbergi,Anurida,Neanuridae,1725394,species,,,,the sources contain no explicit statement about this species' diet,3,28311073(medline)|266B5D55F768FFFAFF7EFE904315FD22(plazi)|03CF878BFF8BC249201E5D89FD9CAFCF(plazi),"Based on the provided documents, there is no specific information about the diet of *Anurida tullbergi*. The text mentions that this species survives long-term inundations in the egg stage but does not describe its feeding habits . Further research would be needed to determine its dietary preferences.",,,,3,28311073(medline)|03CF878BFF8BC249201E5D89FD9CAFCF(plazi)|266B5D55F768FFFAFF7EFE904315FD22(plazi),"Based on the provided documents, there is no specific mention of the body length of *Anurida tullbergi*. The text discusses the survival strategies of various species during flooding but does not provide morphological details such as body length for *Anurida tullbergi* . Further research would be needed to determine this characteristic.",floodplain,,direct,,3,28311073(medline)|266B5D55F768FFFAFF7EFE904315FD22(plazi)|03CF878BFF8BC249201E5D89FD9CAFCF(plazi),"Based on the provided documents, Anurida tullbergi is found on the flood plains of Eder Reservoir (Germany), where it survives long-term inundations in the egg stage under water . This indicates that its habitat includes these flood plain environments, which are subject to periodic flooding. The specific ecological niche of this species appears to be closely tied to such aquatic-intermittent habitats.",1,NA,NA,NA,United Kingdom,,"51.4875,0.2875",NA,2012,NA,English_Lowlands_beech_forests
Anurophorus atlanticus,Anurophorus,Isotomidae,208793,species,,,,the sources contain no explicit statement about this species' diet,1,266B5D55F771FFE3FF7EFD094409FCDC(plazi),"Based on the provided documents, there is no specific information given about the diet of *Anurophorus atlanticus*. The sources mention the taxonomic classification and general distribution but do not provide details on feeding habits . Further research would be needed to determine its dietary preferences.",,,,1,266B5D55F771FFE3FF7EFD094409FCDC(plazi),"Based on the provided documents, there is no specific mention of the body length of *Anurophorus atlanticus*. The sources primarily discuss its taxonomy, nomenclature, and geographic distribution . Further details regarding its morphology would require additional references.",,,,the sources give no explicit habitat description for this species,1,266B5D55F771FFE3FF7EFD094409FCDC(plazi),"Based on the provided documents, the specific habitat of *Anurophorus atlanticus* is not explicitly mentioned. However, it is noted that this species is part of the genus *Anurophorus*, which has a general distribution in the Nearctic and Eastern Palaearctic regions . Further details about its habitat would require additional studies or references.",4,adult|Adult,Mountain birch forest|Coniferous forest litter,Soil/litter sample|NA,Finland|Norway,Vestfold,"69.017,25.811|59.149,10.43",323|NA,2014-2019,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018|NA,Scandinavian_and_Russian_taiga|NA
Anurophorus laricis,Anurophorus,Isotomidae,2107182,species,,,,the sources contain no explicit statement about this species' diet,6,23064850(medline)|E03187B3FFCAD41DFF31F63BFD05F8C2(plazi)|E03187B3FFC9D41EFF31F1A3FD49FE62(plazi)|266B5D55F771FFE3FF7EFBB54533FABD(plazi)|03CF878BFFA6C26522A65CCDFCEAAD13(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Anurophorus laricis*. The document mentions its abundance in certain conditions but does not specify what it feeds on . Further research would be needed to determine its dietary preferences.",,,,6,23064850(medline)|E03187B3FFCAD41DFF31F63BFD05F8C2(plazi)|E03187B3FFC9D41EFF31F1A3FD49FE62(plazi)|03CF878BFFA6C26522A65CCDFCEAAD13(plazi)|266B5D55F771FFE3FF7EFBB54533FABD(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, there is no specific information given about the body length of *Anurophorus laricis*. The sources mention the species in the context of ecological studies but do not provide morphological details such as body length .",,forest_wood,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,6,23064850(medline)|03CF878BFFA6C26522A65CCDFCEAAD13(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, Anurophorus laricis is mentioned as one of the dominant Collembola species found in heavily damaged stands, suggesting its preference for disturbed or damaged habitats such as those resulting from windthrow or other forms of forest damage . There is no specific detailed information about its exact habitat preferences beyond this context.",7,Adult|NA,"EUNIS G1; Moss and bark on deciduous tree stem|NA|Under bark, Salix",NA|Malaise Trap,Denmark|Sweden|United Kingdom|Norway,Vestfold,"56.153,9.567|60.384,16.517",NA,2015-2025,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|NA,Baltic_mixed_forests|Sarmatic_mixed_forests|NA
