#,genus,family,trophic_guilds,status,evidence_sibils_qa,source_docids
1,Arrhopalites,Arrhopalitidae,,diet not documented in literature,,BA7487DEEF7AFFBCFF2843F7FC160DDF(plazi)|03CC78534877FFD9FF65FB43FCDE9D8A(plazi)|1E61975CFFE80A6FFF0EFF5AD8922839(plazi)|BA7487DEEF6DFFAAFF284200FB3109C5(plazi)|A279003C5311545D935AD7252ADECBD9(plazi)
2,Pygmarrhopalites,Arrhopalitidae,,diet not documented in literature,,40266800(medline)|33801126(medline)|41119333(medline)
3,Bourletiella,Bourletiellidae,"predator, detritivore",assigned from literature,"Bourletiella species are mentioned in the context of being collected from leaf litter and soil surfaces, indicating they are detritivores that feed on organic matter such as decaying plant material. However, specific dietary preferences or feeding habits of Bourletiella are not detailed in the…",16883824(medline)|20146862(medline)
4,Brachystomella,Brachystomellidae,"fungivore, detritivore",assigned from literature,"Brachystomella feeds on fungal structures, specifically the reproductive tissues of fruiting bodies, as evidenced by examples of mammalian mycophagy where Brachystomella sp. consumes spores and other fungal parts. Additionally, Brachystomella parvula is noted to be closely related to hypogeous…",PMC9402283(pmc)|PMC10603697(pmc)
5,Dicyrtoma,Dicyrtomidae,,diet not documented in literature,,266B5D55F727FFB5FF7EFC2E468BFB40(plazi)|266B5D55F721FFB3FF7EFE844509FD61(plazi)|BA7487DEEF6DFFAAFF284200FB3109C5(plazi)|BA7487DEEF7BFFBEFF284444FD320AA3(plazi)|F94587E5FFA16F00FF77C96FFE2E3521(plazi)
6,Dicyrtomina,Dicyrtomidae,,diet not documented in literature,,PMC5696395(pmc)|PMC11411247(pmc)
7,Entomobrya,Entomobryidae,,diet not documented in literature,,5F7187D78E4BFFCFFCB4FEE19A5EA086(plazi)|011B87E9FF886560FF60C3BCFC0FBAA8(plazi)|D48E4710A944312C44ECE975B82F793A(plazi)|502D3D8B803275449FB7526EDA6A0584(plazi)|20098787FF889E4EE3E1FCFC23F4FB88(plazi)
8,Willowsia,Entomobryidae,,diet not documented in literature,,03E58E29FFF2FF949EF6FDBC4714FCD9(plazi)|6C5787D6FFBBB46D6DFA6D69FDF40181(plazi)|03A8146EFFBAFF7A2B9CFF08FC6B5F10(plazi)|F43387DF6B39FF9EB48C3EAEFE2CEADD(plazi)|03F787DF1D01D970FE6A685784A6FB9B(plazi)
9,Ceratophysella,Hypogastruridae,,diet not documented in literature,,4A35CE6DC41F232AFF4CD911FD43BDEC(plazi)|985F87902F41FFDA97BEFB36DC663756(plazi)|03B287DDFFF7FD65F582FF3C8FEF5FC3(plazi)|410342EDEDA74FFD71A533CEBE469C59(plazi)|C9D7B5A3B6663848A5EC5E3E133E78AE(plazi)
10,Choreutinula,Hypogastruridae,,diet not documented in literature,,01F371214B9120BA67A5A8AF07FB046E(plazi)|18944DB37B50E010A48EF7BB730BAFD6(plazi)|4F034B6EFFBE3573D916FAED3C8FFA65(plazi)
