processid,species,genus,family,trophic_guilds,trophic_guild_primary
BSCRO2121-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO2123-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO2122-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1180-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1181-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1182-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO987-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO986-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO988-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1169-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1170-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1168-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1167-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO2161-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO2162-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1177-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1178-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1179-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1171-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1173-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
BSCRO1172-25,Absolonia sp.,Absolonia,Onychiuridae,unknown,unknown
GBMIN135182-18,Agrenia bidenticulata,Agrenia,Isotomidae,omnivore|algivore|bacterivore|herbivore|predator,omnivore
BSOIL404-18,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
COLNO293-09,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
COLLH5985-15,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
COLNO312-09,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
COLNO292-09,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE13562-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16734-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16689-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16982-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16683-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16686-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16766-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16730-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE14499-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE14293-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FACE16740-24,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FRBX3002-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FRBX767-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FRBX4930-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FRBX578-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
FRBX3829-23,Allacma fusca,Allacma,Sminthuridae,unknown,unknown
