species,trait,current_value,verdict,failure_class,expected_value,reviewer_note
Folsomia candida,trophic_guild,predator|fungivore,revise,prey_of,fungivore,reviewers objected to the predator label only; fungal feeding is directly stated in the sources
Folsomia fimetaria,trophic_guild,omnivore|detritivore|fungivore|bacterivore|predator,revise,wrong_label|experimental,microbivore,"28310911: 'unspecialized microbial feeder'; lab/microcosm, authors urge caution"
Folsomia fimetarioides,trophic_guild,fungivore,keep_with_note,experimental,fungivore,fungal preference shown under experimental conditions
Folsomia spinosa,trophic_guild,detritivore,reject,substrate_inference,,found in Pinus debris; source states no feeding info available
Friesea mirabilis,trophic_guild,detritivore,reject,substrate_inference,,"source gives habitat only (soil, litter, moss, rotted wood)"
Heteromurus nitidus,trophic_guild,fungivore|herbivore|omnivore,keep_fix_note,note_unsupported,fungivore,label correct; our note asserts animal/omnivorous feeding the sources do not support
Hypogastrura assimilis,trophic_guild,omnivore|fungivore|bacterivore|detritivore,revise,general_collembola|experimental,fungivore,note admits no direct info then infers from Collembola generally; brewer's yeast is an experimental diet
Hypogastrura viatica,trophic_guild,omnivore|algivore|bacterivore|detritivore,keep_with_note,experimental,bacterivore,experimentally fed cyanobacteria-crusted bark
Isotoma anglicana,trophic_guild,omnivore|predator|bacterivore|detritivore,reject,prey_of,,PMID 14629361 reports it as prey of spiders
Isotoma caerulea,trophic_guild,bacterivore,reject,wrong_label,,algae/plant/microbial use documented; no direct evidence of bacterial consumption
Isotoma riparia,trophic_guild,predator,reject,prey_of,,"species is the prey, not the predator"
Isotomurus balteatus,trophic_guild,detritivore,reject,substrate_inference,,"presence in forest leaf litter is habitat, not diet"
Isotomurus maculatus,trophic_guild,bacterivore,reject,wrong_label,,as Isotoma caerulea: bacterivory not supported
Lepidocyrtus cyaneus,trophic_guild,predator,reject,prey_of,,"species is the prey, not the predator"
Neanura moldavica,trophic_guild,fungivore,reject,no_evidence,,no fungivory information in the papers
Neanura muscorum,trophic_guild,fungivore,revise,experimental,fungivore|algivore,experimentally fed Physarum polycephalum and algae-covered bark
Orchesella villosa,trophic_guild,bacterivore,reject,wrong_label,,as Isotoma caerulea: bacterivory not supported
Protaphorura fimata,trophic_guild,fungivore|herbivore,revise,experimental,herbivore|fungivore,fungal consumption experimental; lettuce supported by experiment and field
Protaphorura subarmata,trophic_guild,detritivore,reject,substrate_inference,,decomposed plant material and cheese bait do not demonstrate detritivory
Sminthurinus elegans,trophic_guild,herbivore|detritivore,reject,substrate_inference,,occurrence in soil and litter is not evidence of herbivory
Sminthurinus niger,trophic_guild,detritivore,reject,general_collembola,,fungal/decomposed-plant feeding refers to Collembola in general
